Cell Line, LPS Time point,TNF Cq 1,TNF Cq 2,b-actin Cq 1,b-actin Cq 2
Intron enh A1,unstimulated,23.47,23.62,16.59,16.52
Intron enh A1,2 hr,19.34,19.43,16.25,16.21
Intron enh A1,6 hr,18.89,19.24,16.16,16.05
Intron enh A1,24 hr,18.15,18.32,15.21,15.20
Intron enh A1,48 hr,21.69,20.42,14.65,14.41
Intron enh B6,unstimulated,23.21,23.82,16.07,15.77
Intron enh B6,2 hr,25.29,20.46,16.13,15.95
Intron enh B6,6 hr,19.38,19.42,,15.21
Intron enh B6,24 hr,20.05,19.99,15.14,15.16
Intron enh B6,48 hr,21.96,21.72,14.96,14.77
Intron enh F7,unstimulated,25.38,25.26,17.52,17.68
Intron enh F7,2 hr,21.57,21.48,16.97,17.66
Intron enh F7,6 hr,21.03,20.76,16.45,16.36
Intron enh F7,24 hr,30.78,30.57,,22.77
Intron enh F7,48 hr,21.39,21.30,15.25,15.51
Intergenic enh C8.3,unstimulated,24.43,24.11,16.23,16.49
Intergenic enh C8.3,2 hr,20.46,20.59,16.30,16.15
Intergenic enh C8.3,6 hr,19.87,19.41,16.01,15.96
Intergenic enh C8.3,24 hr,19.23,19.10,16.72,16.62
Intergenic enh C8.3,48 hr,22.14,21.91,15.74,15.68
